City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Lazaro Cardenas,40,MX,1573960965,82,28.39,-105.62,57.0,0.78
Tucumcari,1,US,1573960966,32,35.17,-103.73,54.0,4.7
Alberton,0,ZA,1573960967,62,-26.25,28.13,66.0,8.01
Acajutla,16,SV,1573960762,69,13.59,-89.83,83.77,8.84
Bonaventure,1,CA,1573960969,67,48.04,-65.49,25.0,13.87
Sinnamary,0,GF,1573960970,80,5.38,-52.96,81.91,15.32
Carnarvon,0,ZA,1573960971,80,-30.97,22.13,56.57,12.64
Ocean City,1,US,1573960828,75,30.44,-86.61,54.0,6.93
Souillac,90,FR,1573960973,100,45.6,-0.6,37.99,2.24
Belmonte,99,PT,1573960975,91,40.36,-7.35,45.0,4.0
Coruripe,41,BR,1573960976,81,-10.12,-36.18,77.29,16.2
Mikrokambos,20,GR,1573960977,100,40.84,22.78,57.99,4.7
Graciano Sanchez,100,MX,1573960978,90,23.92,-99.28,50.02,2.33
Bambanglipuro,20,ID,1573960979,54,-7.95,110.28,87.35,11.95
San Roque,75,CO,1573960754,100,6.49,-75.02,59.0,2.62
Chuguyevka,0,RU,1573960981,41,44.17,133.87,24.17,2.39
Evanston,1,US,1573960947,74,42.04,-87.69,35.6,4.7
Kirando,100,TZ,1573960983,79,-7.37,30.62,74.82,7.58
Fez,0,MA,1573960984,58,34.03,-5.02,37.4,4.7
Lukoyanov,68,RU,1573960985,87,55.03,44.48,30.74,10.16
Palmer,2,AU,1573960824,48,-34.85,139.16,69.01,16.11
Tigil,100,RU,1573960987,72,57.8,158.67,28.92,8.57
Sao Joao dos Patos,0,BR,1573960988,84,-6.5,-43.7,73.22,3.29
Vardo,1,US,1573960989,33,39.62,-77.74,33.8,6.93
Hervey Bay,0,AU,1573960990,55,-25.3,152.85,86.0,24.16
Porto Recanati,100,IT,1573960991,100,43.44,13.66,57.99,2.24
Batagay,100,RU,1573960993,97,67.65,134.64,-18.35,0.96
Krasnoarmeysk,90,RU,1573960993,100,56.12,38.15,39.2,6.71
Killam,99,CA,1573960994,86,52.79,-111.86,30.0,5.01
Yumbe,73,UG,1573960995,80,3.47,31.25,69.12,1.83
Ouadda,100,CF,1573960996,42,8.07,22.4,68.76,3.83
Pierre,90,US,1573960882,70,44.37,-100.35,46.0,12.75
Kayes,97,ML,1573960998,61,14.44,-11.44,77.0,2.24
Aswan,0,EG,1573961000,51,24.09,32.9,60.8,6.93
Kurchum,92,KZ,1573961001,59,48.57,83.65,14.04,9.26
Peniche,75,PT,1573961002,100,39.36,-9.38,57.99,5.82
Panama City,40,US,1573960894,82,30.16,-85.65,55.4,13.71
Shimanovsk,0,RU,1573961004,72,52.0,127.67,4.59,4.16
Camacha,20,PT,1573961005,63,33.08,-16.33,64.4,6.93
Leningradskiy,100,RU,1573961006,90,69.38,178.42,14.97,7.23
Carlisle,100,GB,1573961007,100,54.89,-2.94,43.0,5.82
Upata,100,VE,1573961008,95,8.02,-62.41,70.9,2.93
Bristol,75,GB,1573960956,75,51.45,-2.6,42.8,4.7
Sorland,49,NO,1573961010,72,67.67,12.69,38.59,12.03
West Richland,75,US,1573960966,100,46.3,-119.35,48.0,0.4
Banepa,40,NP,1573961013,87,27.63,85.52,60.8,1.14
Alcaniz,0,ES,1573961014,54,41.05,-0.13,43.0,13.0
Vanimo,100,PG,1573961015,70,-2.67,141.3,84.42,8.14
Lagoa,52,PT,1573961016,81,37.14,-8.45,52.0,2.24
Nuuk,100,GL,1573961017,53,64.17,-51.74,23.0,20.8
Roebourne,0,AU,1573960813,5,-20.77,117.15,108.36,10.47
Abalak,84,NE,1573961019,16,15.46,6.28,79.32,7.02
Lovozero,35,RU,1573961020,89,68.01,35.02,13.93,3.06
Las Tunas,20,CU,1573961021,94,20.96,-76.96,73.4,2.24
Raychikhinsk,6,RU,1573961022,69,49.8,129.4,8.96,4.68
Tura,25,RU,1573961023,96,64.27,100.22,-30.87,2.04
Woodward,1,US,1573961024,54,36.43,-99.39,53.6,11.41
Chara,20,GR,1573961025,93,39.42,22.43,53.6,5.82
Santa Isabel,1,MX,1573961026,28,32.63,-115.58,73.4,3.36
Tadine,35,NC,1573961027,63,-21.55,167.88,77.79,13.65
Nova Ushytsya,100,UA,1573961028,96,48.84,27.27,50.5,14.09
Rundu,100,NA,1573961029,47,-17.91,19.77,78.8,3.36
Zuya,0,UA,1573961030,63,45.05,34.32,45.73,2.98
Kangshan,1,CN,1573961031,57,24.68,117.65,77.0,4.47
Yeniseysk,100,RU,1573961032,93,58.45,92.17,3.67,9.08
Bosilegrad,100,RS,1573961033,97,42.5,22.47,39.97,1.39
Maumere,44,ID,1573961034,59,-8.63,122.22,84.76,8.52
Kibre Mengist,39,ET,1573961035,97,5.87,38.99,52.84,1.86
Batetskiy,100,RU,1573961036,97,58.65,30.3,41.22,6.51
Vostok,67,RU,1573961037,67,46.45,135.83,13.64,4.7
Marrakesh,0,MA,1573961039,70,31.63,-7.99,44.6,4.7
Coihaique,75,CL,1573961040,87,-45.58,-72.07,46.4,3.36
Kutum,29,SD,1573961042,34,14.2,24.66,65.01,4.7
Friesach,75,AT,1573961043,93,46.95,14.41,43.0,2.24
Chilca,75,PE,1573961044,66,-13.22,-72.34,53.6,2.24
Taltal,30,CL,1573961045,93,-25.41,-70.49,55.2,0.47
Nianzishan,100,CN,1573961046,30,47.51,122.88,18.16,5.48
San Pedro,0,AR,1573961047,84,-33.68,-59.66,64.99,1.01
Roald,68,NO,1573961048,53,62.58,6.12,32.0,3.36
Nandi,20,IN,1573961049,94,13.39,77.7,75.99,5.82
Bonito,0,BR,1573961050,88,-1.36,-47.3,74.7,4.54
Ambilobe,66,MG,1573961051,77,-13.19,49.05,78.93,9.55
Ucluelet,100,CA,1573961052,94,48.94,-125.55,53.01,4.0
Brindisi,40,IT,1573961053,88,40.63,17.94,66.0,9.17
Rodos,1,GR,1573961054,88,36.44,28.22,66.0,2.24
Durango,75,MX,1573961055,72,24.02,-104.67,59.0,4.7
Vondrozo,45,MG,1573961057,88,-22.82,47.32,73.02,2.73
Karlstad,98,SE,1573961058,100,59.38,13.5,44.01,4.7
Rio Grande,84,BR,1573961059,93,-32.03,-52.1,61.0,12.75
Loa Janan,0,ID,1573961060,47,-0.58,117.09,95.38,1.39
Bilma,21,NE,1573961061,27,18.69,12.92,69.53,0.78
Kirillov,90,RU,1573961062,100,59.86,38.38,35.6,2.24
Methala,20,IN,1573961063,88,10.22,76.22,80.6,3.36
Apahida,75,RO,1573961064,100,46.8,23.75,39.2,4.7
Yerbogachen,0,RU,1573960766,94,61.28,108.01,-23.39,5.99
Kampong Cham,0,KH,1573961066,73,11.99,105.46,82.26,4.52
Narsaq,100,GL,1573961067,40,60.91,-46.05,37.4,42.5
Koutsouras,100,GR,1573961068,75,35.03,25.95,63.0,4.0
Basco,1,US,1573961069,86,40.33,-91.2,37.99,5.82
Fethiye,0,TR,1573961070,93,36.62,29.12,53.6,5.82
Kamaishi,40,JP,1573961071,45,39.28,141.86,46.4,13.87
Tessalit,22,ML,1573961072,23,20.2,1.01,68.85,7.07
Deputatskiy,91,RU,1573961073,96,69.3,139.9,-4.4,3.42
Yatou,75,CM,1573961074,94,3.63,9.81,77.0,2.21
Whitehorse,90,CA,1573961075,100,60.72,-135.06,32.0,5.82
Rodopolis,100,GR,1573961076,73,41.26,23.0,57.99,4.0
Hearst,100,CA,1573961077,83,49.69,-83.67,25.86,12.48
Sambava,28,MG,1573961078,93,-14.27,50.17,73.74,1.45
Mayo,90,CA,1573961079,71,63.59,-135.9,6.8,9.17
Tall Kayf,0,TR,1573961080,49,37.08,41.07,50.0,11.41
San Vicente,40,EC,1573961081,94,-0.59,-80.41,73.4,8.05
Yongan,99,CN,1573961082,29,39.7,113.69,31.71,24.4
Severo-Yeniseyskiy,100,RU,1573961021,96,60.37,93.04,-10.71,4.74
Abbeville,79,FR,1573960915,93,50.11,1.83,41.0,5.82
Port Lincoln,49,AU,1573961085,53,-34.72,135.86,62.01,10.07
Kamina,100,CD,1573961086,97,-8.74,25.0,65.17,2.55
Galveston,1,US,1573961087,92,40.58,-86.19,32.0,6.93
Mpongwe,100,ZM,1573961088,98,-13.51,28.16,64.09,2.28
Ermelo,90,NL,1573961089,80,52.3,5.62,43.0,4.7
Marquette,90,US,1573961090,84,46.54,-87.4,34.0,18.34
Pangody,84,RU,1573961091,95,65.85,74.49,-16.89,15.26
Pahrump,1,US,1573961092,21,36.21,-115.98,62.6,9.17
Zima,0,RU,1573961093,69,53.93,102.05,-2.97,8.66
Acapulco,40,MX,1573961094,83,16.86,-99.88,80.6,4.7
Koraput,0,IN,1573961095,69,18.81,82.72,71.56,3.36
Kharan,0,PK,1573961096,29,28.58,65.42,59.76,7.02
Millinocket,1,US,1573961097,57,45.66,-68.71,18.0,8.05
Sitka,100,US,1573961098,53,37.17,-99.65,46.99,9.37
San Carlos,100,NI,1573961099,1,11.12,-84.78,75.0,15.01
Kalmunai,0,LK,1573961100,79,7.42,81.82,81.0,5.5
Pipri,0,IN,1573961101,49,24.21,83.02,68.86,5.46
Poronaysk,100,RU,1573961102,61,49.22,143.1,29.98,29.51
Trairi,16,BR,1573961103,87,-3.28,-39.27,73.8,4.72
Alegrete,0,BR,1573961104,73,-29.79,-55.79,61.84,5.55
Polyarnyy,75,RU,1573961105,85,69.2,33.45,12.2,2.24
Grand Gaube,40,MU,1573961106,83,-20.01,57.66,78.01,14.99
Ponta Delgada,40,PT,1573961107,76,37.73,-25.67,55.4,6.93
Kahului,20,US,1573961108,74,20.89,-156.47,80.6,13.87
